# t, hp, hx
1.088317965599999937e+00 -4.447204048200000259e-01 -3.112391754600000171e-01
1.088399284499999897e+00 -4.432929423599999974e-01 -3.140587454000000056e-01
1.088480602399999997e+00 -4.399137356699999724e-01 -3.161414273800000063e-01
1.088561919300000014e+00 -4.361556655700000174e-01 -3.162288036700000027e-01
1.088643235199999948e+00 -4.342566700900000187e-01 -3.134414733900000027e-01
1.088724550000000013e+00 -4.355249499300000160e-01 -3.094872146400000079e-01
1.088805863900000004e+00 -4.387817694600000262e-01 -3.064700835499999942e-01
1.088887176999999928e+00 -4.420605963099999980e-01 -3.051625725600000116e-01
1.088968489200000000e+00 -4.441608785899999745e-01 -3.060676872499999979e-01
1.089049599700000037e+00 -4.440728643099999817e-01 -3.085700167300000074e-01
1.089130910099999960e+00 -4.415134859700000081e-01 -3.111417169999999843e-01
1.089212219500000023e+00 -4.380374282799999741e-01 -3.130987104799999865e-01
1.089293527799999994e+00 -4.355925465900000182e-01 -3.143443596800000184e-01
1.089374835100000105e+00 -4.357093564000000252e-01 -3.134588298900000125e-01
1.089456141399999911e+00 -4.379962707100000241e-01 -3.102334182900000070e-01
1.089537446900000095e+00 -4.402074792099999745e-01 -3.064492191900000106e-01
1.089618751499999982e+00 -4.413516349000000116e-01 -3.043551747600000135e-01
1.089700055300000026e+00 -4.418544609100000242e-01 -3.052993549699999920e-01
1.089781358199999994e+00 -4.423707580999999833e-01 -3.083580036499999899e-01
1.089862660100000102e+00 -4.414371607400000008e-01 -3.123175385099999923e-01
1.089943961099999914e+00 -4.388642502899999798e-01 -3.161000120199999874e-01
1.090025202899999934e+00 -4.371146594499999982e-01 -3.173906410199999750e-01
1.090106502100000041e+00 -4.363284498500000219e-01 -3.151396155999999782e-01
1.090187800300000065e+00 -4.356935556900000117e-01 -3.100355247000000092e-01
1.090269097600000014e+00 -4.359119116499999835e-01 -3.049292581799999957e-01
1.090350393800000095e+00 -4.375014552100000009e-01 -3.028449386500000062e-01
1.090431689200000109e+00 -4.398883491700000259e-01 -3.039313260800000083e-01
1.090512983500000033e+00 -4.424170608199999855e-01 -3.072444258700000042e-01
1.090594276800000095e+00 -4.443351893399999919e-01 -3.121276658600000142e-01
1.090675569100000075e+00 -4.442209845599999762e-01 -3.169011500999999731e-01
1.090756860399999972e+00 -4.425275685499999723e-01 -3.183760010200000212e-01
